,,"Life expectancy at birth (years)","Life expectancy at birth (years)","Life expectancy at birth (years)","Life expectancy at age 60 (years)","Life expectancy at age 60 (years)","Life expectancy at age 60 (years)","Healthy life expectancy (HALE) at birth (years)","Healthy life expectancy (HALE) at birth (years)","Healthy life expectancy (HALE) at birth (years)","Healthy life expectancy (HALE) at age 60 (years)","Healthy life expectancy (HALE) at age 60 (years)","Healthy life expectancy (HALE) at age 60 (years)"
"Country","Year","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female"
"Senegal","2016","66.8","64.7","68.7","16.9","15.9","17.7","58.8","57.3","60.1","12.9","12.2","13.5"
"Serbia","2016","76.3","73.8","78.9","19.8","18.0","21.5","67.4","65.4","69.4","15.1","13.6","16.3"
"Seychelles","2016","73.3","69.0","78.0","19.6","17.1","22.3","65.7","62.2","69.5","15.7","13.7","17.8"
"Sierra Leone","2016","53.1","52.5","53.8","13.3","13.3","13.4","47.6","47.2","48.1","10.3","10.2","10.4"
"Singapore","2016","82.9","80.8","85.0","25.0","23.2","26.7","76.2","74.7","77.6","21.0","19.6","22.3"
"Slovakia","2016","77.4","73.8","80.9","21.3","18.7","23.5","68.3","65.3","71.2","16.3","14.2","18.0"
"Slovenia","2016","80.9","78.0","83.7","23.7","21.5","25.6","70.5","68.3","72.6","17.6","16.0","19.0"
"Solomon Islands","2016","71.1","69.7","72.7","17.7","16.8","18.7","61.9","61.4","62.5","13.1","12.7","13.6"
"Somalia","2016","55.4","53.7","57.3","16.3","15.7","16.8","50.0","48.8","51.3","12.7","12.5","12.9"
"South Africa","2016","63.6","60.2","67.0","16.6","14.0","18.8","55.7","53.2","58.2","12.5","10.6","14.1"
"South Sudan","2016","58.6","57.7","59.6","16.6","16.1","17.1","50.6","50.0","51.3","12.3","11.9","12.7"
"Spain","2016","83.1","80.3","85.7","25.4","23.1","27.5","73.8","72.2","75.4","20.3","18.7","21.8"
"Sri Lanka","2016","75.3","72.1","78.5","20.8","19.5","21.9","66.8","64.4","69.3","16.1","15.1","16.9"
"Sudan","2016","65.1","63.4","66.9","17.9","17.3","18.5","55.7","54.7","56.8","13.0","12.7","13.3"
"Suriname","2016","71.8","68.7","75.1","19.2","17.1","21.2","63.2","61.0","65.4","14.7","13.2","16.0"
"Sweden","2016","82.4","80.6","84.1","24.6","23.2","25.8","72.4","71.5","73.4","19.2","18.2","20.1"
"Switzerland","2016","83.3","81.2","85.2","25.5","23.8","26.9","73.5","72.4","74.5","20.1","19.0","21.2"
"Syrian Arab Republic","2016","63.8","59.4","68.9","18.5","17.5","19.4","55.8","52.5","59.5","13.9","13.3","14.5"
"Tajikistan","2016","70.8","68.7","73.0","17.7","16.6","18.9","63.5","61.7","65.3","14.3","13.4","15.3"
"Thailand","2016","75.5","71.8","79.3","22.1","20.4","23.6","66.8","64.0","69.8","17.0","15.7","18.1"
"Republic of North Macedonia","2016","75.9","73.8","78.0","19.5","18.1","20.8","67.1","65.8","68.9","15.0","14.0","16.0"
"Timor-Leste","2016","68.6","66.8","70.4","17.1","16.2","18.0","59.2","57.7","60.7","11.1","10.5","11.8"
"Togo","2016","60.6","59.7","61.5","15.3","14.8","15.7","53.9","53.6","54.2","11.9","11.6","12.1"
"Tonga","2016","73.4","70.5","76.4","18.9","16.3","21.3","64.3","62.6","66.0","14.2","12.6","15.8"
"Trinidad and Tobago","2016","71.8","68.2","75.6","19.6","17.8","21.2","63.3","60.4","66.2","15.0","13.6","16.3"
"Tunisia","2016","76.0","74.1","78.1","20.1","18.5","21.6","66.3","65.3","67.3","15.1","14.2","15.9"
"Turkey","2016","76.4","73.3","79.4","21.2","19.1","23.2","66.0","64.4","67.6","15.5","14.4","16.6"
"Turkmenistan","2016","68.2","64.7","71.7","17.4","15.6","18.8","61.4","58.7","64.1","13.9","12.7","15.0"
"Uganda","2016","62.5","60.2","64.8","17.1","16.3","17.7","54.9","52.9","56.9","12.8","12.0","13.4"
"Ukraine","2016","72.5","67.6","77.1","19.1","16.2","21.2","64.0","60.3","67.6","14.7","12.5","16.4"
"United Arab Emirates","2016","77.2","76.5","78.7","20.2","19.8","21.0","66.7","66.0","68.3","14.9","14.4","16.1"
"United Kingdom of Great Britain and Northern Ireland","2016","81.4","79.7","83.2","24.2","23.0","25.5","71.9","70.9","72.9","19.2","18.3","20.1"
"United Republic of Tanzania","2016","63.9","62.0","65.8","17.5","16.9","18.1","56.5","54.9","58.0","13.4","12.8","14.0"
"United States of America","2016","78.5","76.0","81.0","23.3","21.8","24.7","68.5","66.9","70.1","17.9","16.7","19.0"
"Uruguay","2016","77.1","73.2","80.8","22.3","19.3","24.8","68.8","65.8","71.2","17.6","15.4","19.6"
"Uzbekistan","2016","72.3","69.7","75.0","18.4","16.7","20.0","64.5","62.9","66.2","14.5","13.4","15.5"
"Vanuatu","2016","72.0","70.1","74.1","18.2","17.0","19.6","62.7","61.9","63.7","13.7","13.0","14.5"
"Venezuela (Bolivarian Republic of)","2016","74.1","69.5","79.0","21.6","19.3","23.8","66.1","62.5","70.0","17.0","15.3","18.6"
"Viet Nam","2016","76.3","71.7","80.9","22.7","19.7","25.1","67.5","64.2","70.7","17.2","15.2","18.8"
"Yemen","2016","65.3","63.9","66.8","16.4","15.5","17.2","55.1","54.6","55.5","11.4","11.0","11.8"
"Zambia","2016","62.3","60.2","64.4","17.5","16.6","18.3","54.3","52.6","56.0","12.7","11.9","13.4"
"Zimbabwe","2016","61.4","59.6","63.1","17.5","16.6","18.1","54.4","52.7","55.9","13.4","12.4","14.1"
